Region,Province,Date,Death
Northeast,BA,2020-03-05,0
Northeast,BA,2020-03-06,0
Northeast,BA,2020-03-07,0
Northeast,BA,2020-03-08,0
Northeast,BA,2020-03-09,0
Northeast,BA,2020-03-10,0
Northeast,BA,2020-03-11,0
Northeast,BA,2020-03-12,0
Northeast,BA,2020-03-13,0
Northeast,BA,2020-03-14,0
Northeast,BA,2020-03-15,0
Northeast,BA,2020-03-16,0
Northeast,BA,2020-03-17,0
Northeast,BA,2020-03-18,0
Northeast,BA,2020-03-19,0
Northeast,BA,2020-03-20,0
Northeast,BA,2020-03-21,0
Northeast,BA,2020-03-22,0
Northeast,BA,2020-03-23,0
Northeast,BA,2020-03-24,0
Northeast,BA,2020-03-25,0
Northeast,BA,2020-03-26,0
Northeast,BA,2020-03-27,0
Northeast,CE,2020-02-25,0
Northeast,CE,2020-02-26,0
Northeast,CE,2020-02-27,0
Northeast,CE,2020-02-28,0
Northeast,CE,2020-02-29,0
Northeast,CE,2020-03-01,0
Northeast,CE,2020-03-02,0
Northeast,CE,2020-03-03,0
Northeast,CE,2020-03-04,0
Northeast,CE,2020-03-05,0
Northeast,CE,2020-03-06,0
Northeast,CE,2020-03-07,0
Northeast,CE,2020-03-08,0
Northeast,CE,2020-03-09,0
Northeast,CE,2020-03-10,0
Northeast,CE,2020-03-11,0
Northeast,CE,2020-03-12,0
Northeast,CE,2020-03-13,0
Northeast,CE,2020-03-14,0
Northeast,CE,2020-03-15,0
Northeast,CE,2020-03-16,0
Northeast,CE,2020-03-17,0
Northeast,CE,2020-03-18,0
Northeast,CE,2020-03-19,0
Northeast,CE,2020-03-20,0
Northeast,CE,2020-03-21,0
Northeast,CE,2020-03-22,0
Northeast,CE,2020-03-23,0
Northeast,CE,2020-03-24,0
Northeast,CE,2020-03-25,0
Northeast,CE,2020-03-26,0
Northeast,CE,2020-03-27,3
Midwest,DF,2020-02-25,0
Midwest,DF,2020-02-26,0
Midwest,DF,2020-02-27,0
Midwest,DF,2020-02-28,0
Midwest,DF,2020-02-29,0
Midwest,DF,2020-03-01,0
Midwest,DF,2020-03-02,0
Midwest,DF,2020-03-03,0
Midwest,DF,2020-03-04,0
Midwest,DF,2020-03-05,0
Midwest,DF,2020-03-06,0
Midwest,DF,2020-03-07,0
Midwest,DF,2020-03-08,0
Midwest,DF,2020-03-09,0
Midwest,DF,2020-03-10,0
Midwest,DF,2020-03-11,0
Midwest,DF,2020-03-12,0
Midwest,DF,2020-03-13,0
Midwest,DF,2020-03-14,0
Midwest,DF,2020-03-15,0
Midwest,DF,2020-03-16,0
Midwest,DF,2020-03-17,0
Midwest,DF,2020-03-18,0
Midwest,DF,2020-03-19,0
Midwest,DF,2020-03-20,0
Midwest,DF,2020-03-21,0
Midwest,DF,2020-03-22,0
Midwest,DF,2020-03-23,0
Midwest,DF,2020-03-24,0
Midwest,DF,2020-03-25,0
Midwest,DF,2020-03-26,0
Midwest,DF,2020-03-27,1
Southeast,ES,2020-02-25,0
Southeast,ES,2020-02-26,0
Southeast,ES,2020-02-27,0
Southeast,ES,2020-02-28,0
Southeast,ES,2020-02-29,0
Southeast,ES,2020-03-01,0
Southeast,ES,2020-03-02,0
Southeast,ES,2020-03-03,0
Southeast,ES,2020-03-04,0
Southeast,ES,2020-03-05,0
Southeast,ES,2020-03-06,0
Southeast,ES,2020-03-07,0
Southeast,ES,2020-03-08,0
Southeast,ES,2020-03-09,0
Southeast,ES,2020-03-10,0
Southeast,ES,2020-03-11,0
Southeast,ES,2020-03-12,0
Southeast,ES,2020-03-13,0
Southeast,ES,2020-03-14,0
Southeast,ES,2020-03-15,0
Southeast,ES,2020-03-16,0
Southeast,ES,2020-03-17,0
Southeast,ES,2020-03-18,0
Southeast,ES,2020-03-19,0
Southeast,ES,2020-03-20,0
Southeast,ES,2020-03-21,0
