Region,State,Date,Confirmed,Death
Southeast,MG,2020-03-07,0,0
Southeast,MG,2020-03-08,1,0
Southeast,MG,2020-03-09,1,0
Southeast,MG,2020-03-10,1,0
Southeast,MG,2020-03-11,1,0
Southeast,MG,2020-03-12,2,0
Southeast,MG,2020-03-13,2,0
Southeast,MG,2020-03-14,4,0
Southeast,MG,2020-03-15,2,0
Southeast,MG,2020-03-16,6,0
Southeast,MG,2020-03-17,14,0
Southeast,MG,2020-03-18,19,0
Southeast,MG,2020-03-19,29,0
Southeast,MG,2020-03-20,38,0
Southeast,MG,2020-03-21,55,0
Southeast,MG,2020-03-22,83,0
Southeast,MG,2020-03-23,128,0
Southeast,MG,2020-03-24,130,0
Southeast,MG,2020-03-25,133,0
Southeast,MG,2020-03-26,153,0
Southeast,MG,2020-03-27,189,0
Midwest,MS,2020-02-25,0,0
Midwest,MS,2020-02-26,0,0
Midwest,MS,2020-02-27,0,0
Midwest,MS,2020-02-28,0,0
Midwest,MS,2020-02-29,0,0
Midwest,MS,2020-03-01,0,0
Midwest,MS,2020-03-02,0,0
Midwest,MS,2020-03-03,0,0
Midwest,MS,2020-03-04,0,0
Midwest,MS,2020-03-05,0,0
Midwest,MS,2020-03-06,0,0
Midwest,MS,2020-03-07,0,0
Midwest,MS,2020-03-08,0,0
Midwest,MS,2020-03-09,0,0
Midwest,MS,2020-03-10,0,0
Midwest,MS,2020-03-11,0,0
Midwest,MS,2020-03-12,0,0
Midwest,MS,2020-03-13,0,0
Midwest,MS,2020-03-14,2,0
Midwest,MS,2020-03-15,2,0
Midwest,MS,2020-03-16,4,0
Midwest,MS,2020-03-17,6,0
Midwest,MS,2020-03-18,7,0
Midwest,MS,2020-03-19,9,0
Midwest,MS,2020-03-20,12,0
Midwest,MS,2020-03-21,16,0
Midwest,MS,2020-03-22,21,0
Midwest,MS,2020-03-23,21,0
Midwest,MS,2020-03-24,24,0
Midwest,MS,2020-03-25,24,0
Midwest,MS,2020-03-26,25,0
Midwest,MS,2020-03-27,28,0
Midwest,MT,2020-02-25,0,0
Midwest,MT,2020-02-26,0,0
Midwest,MT,2020-02-27,0,0
Midwest,MT,2020-02-28,0,0
Midwest,MT,2020-02-29,0,0
Midwest,MT,2020-03-01,0,0
Midwest,MT,2020-03-02,0,0
Midwest,MT,2020-03-03,0,0
Midwest,MT,2020-03-04,0,0
Midwest,MT,2020-03-05,0,0
Midwest,MT,2020-03-06,0,0
Midwest,MT,2020-03-07,0,0
Midwest,MT,2020-03-08,0,0
Midwest,MT,2020-03-09,0,0
Midwest,MT,2020-03-10,0,0
Midwest,MT,2020-03-11,0,0
Midwest,MT,2020-03-12,0,0
Midwest,MT,2020-03-13,0,0
Midwest,MT,2020-03-14,0,0
Midwest,MT,2020-03-15,0,0
Midwest,MT,2020-03-16,0,0
Midwest,MT,2020-03-17,0,0
Midwest,MT,2020-03-18,0,0
Midwest,MT,2020-03-19,1,0
Midwest,MT,2020-03-20,1,0
Midwest,MT,2020-03-21,2,0
Midwest,MT,2020-03-22,2,0
Midwest,MT,2020-03-23,6,0
Midwest,MT,2020-03-24,7,0
Midwest,MT,2020-03-25,9,0
Midwest,MT,2020-03-26,11,0
Midwest,MT,2020-03-27,11,0
North,PA,2020-02-25,0,0
North,PA,2020-02-26,0,0
North,PA,2020-02-27,0,0
North,PA,2020-02-28,0,0
North,PA,2020-02-29,0,0
North,PA,2020-03-01,0,0
North,PA,2020-03-02,0,0
North,PA,2020-03-03,0,0
North,PA,2020-03-04,0,0
North,PA,2020-03-05,0,0
North,PA,2020-03-06,0,0
North,PA,2020-03-07,0,0
North,PA,2020-03-08,0,0
North,PA,2020-03-09,0,0
North,PA,2020-03-10,0,0
North,PA,2020-03-11,0,0
North,PA,2020-03-12,0,0
North,PA,2020-03-13,0,0
North,PA,2020-03-14,0,0
North,PA,2020-03-15,0,0
North,PA,2020-03-16,0,0
North,PA,2020-03-17,0,0
North,PA,2020-03-18,1,0
North,PA,2020-03-19,1,0
North,PA,2020-03-20,2,0
North,PA,2020-03-21,2,0
North,PA,2020-03-22,4,0
North,PA,2020-03-23,5,0
North,PA,2020-03-24,5,0
North,PA,2020-03-25,7,0
North,PA,2020-03-26,13,0
North,PA,2020-03-27,16,NA
Northeast,PB,2020-02-25,0,0
Northeast,PB,2020-02-26,0,0
Northeast,PB,2020-02-27,0,0
Northeast,PB,2020-02-28,0,0
Northeast,PB,2020-02-29,0,0
Northeast,PB,2020-03-01,0,0
Northeast,PB,2020-03-02,0,0
Northeast,PB,2020-03-03,0,0
Northeast,PB,2020-03-04,0,0
Northeast,PB,2020-03-05,0,0
Northeast,PB,2020-03-06,0,0
Northeast,PB,2020-03-07,0,0
Northeast,PB,2020-03-08,0,0
Northeast,PB,2020-03-09,0,0
Northeast,PB,2020-03-10,0,0
Northeast,PB,2020-03-11,0,0
Northeast,PB,2020-03-12,0,0
Northeast,PB,2020-03-13,0,0
Northeast,PB,2020-03-14,0,0
Northeast,PB,2020-03-15,0,0
Northeast,PB,2020-03-16,0,0
Northeast,PB,2020-03-17,0,0
Northeast,PB,2020-03-18,1,0
Northeast,PB,2020-03-19,1,0
Northeast,PB,2020-03-20,1,0
Northeast,PB,2020-03-21,2,0
Northeast,PB,2020-03-22,2,0
Northeast,PB,2020-03-23,2,0
Northeast,PB,2020-03-24,3,0
Northeast,PB,2020-03-25,5,0
Northeast,PB,2020-03-26,6,0
Northeast,PB,2020-03-27,10,0
Northeast,PE,2020-02-25,0,0
Northeast,PE,2020-02-26,0,0
Northeast,PE,2020-02-27,0,0
Northeast,PE,2020-02-28,0,0
Northeast,PE,2020-02-29,0,0
Northeast,PE,2020-03-01,0,0
Northeast,PE,2020-03-02,0,0
Northeast,PE,2020-03-03,0,0
Northeast,PE,2020-03-04,0,0
Northeast,PE,2020-03-05,0,0
Northeast,PE,2020-03-06,0,0
Northeast,PE,2020-03-07,0,0
Northeast,PE,2020-03-08,0,0
Northeast,PE,2020-03-09,0,0
Northeast,PE,2020-03-10,0,0
Northeast,PE,2020-03-11,0,0
Northeast,PE,2020-03-12,2,0
Northeast,PE,2020-03-13,0,0
Northeast,PE,2020-03-14,7,0
Northeast,PE,2020-03-15,7,0
Northeast,PE,2020-03-16,18,0
Northeast,PE,2020-03-17,19,0
Northeast,PE,2020-03-18,22,0
Northeast,PE,2020-03-19,28,0
Northeast,PE,2020-03-20,31,0
Northeast,PE,2020-03-21,33,0
Northeast,PE,2020-03-22,37,0
Northeast,PE,2020-03-23,42,0
Northeast,PE,2020-03-24,42,0
Northeast,PE,2020-03-25,46,1
Northeast,PE,2020-03-26,48,3
Northeast,PE,2020-03-27,57,4
Northeast,PI,2020-02-25,0,0
Northeast,PI,2020-02-26,0,0
Northeast,PI,2020-02-27,0,0
Northeast,PI,2020-02-28,0,0
Northeast,PI,2020-02-29,0,0
Northeast,PI,2020-03-01,0,0
Northeast,PI,2020-03-02,0,0
Northeast,PI,2020-03-03,0,0
Northeast,PI,2020-03-04,0,0
Northeast,PI,2020-03-05,0,0
Northeast,PI,2020-03-06,0,0
Northeast,PI,2020-03-07,0,0
Northeast,PI,2020-03-08,0,0
Northeast,PI,2020-03-09,0,0
Northeast,PI,2020-03-10,0,0
Northeast,PI,2020-03-11,0,0
Northeast,PI,2020-03-12,0,0
Northeast,PI,2020-03-13,0,0
Northeast,PI,2020-03-14,0,0
Northeast,PI,2020-03-15,0,0
Northeast,PI,2020-03-16,0,0
Northeast,PI,2020-03-17,0,0
Northeast,PI,2020-03-18,0,0
Northeast,PI,2020-03-19,3,0
Northeast,PI,2020-03-20,4,0
Northeast,PI,2020-03-21,4,0
Northeast,PI,2020-03-22,4,0
Northeast,PI,2020-03-23,6,0
Northeast,PI,2020-03-24,8,0
Northeast,PI,2020-03-25,8,0
Northeast,PI,2020-03-26,9,0
Northeast,PI,2020-03-27,9,0
South,PR,2020-02-25,0,0
South,PR,2020-02-26,0,0
South,PR,2020-02-27,0,0
South,PR,2020-02-28,0,0
South,PR,2020-02-29,0,0
South,PR,2020-03-01,0,0
South,PR,2020-03-02,0,0
South,PR,2020-03-03,0,0
South,PR,2020-03-04,0,0
South,PR,2020-03-05,0,0
South,PR,2020-03-06,0,0
South,PR,2020-03-07,0,0
South,PR,2020-03-08,0,0
South,PR,2020-03-09,0,0
South,PR,2020-03-10,0,0
South,PR,2020-03-11,0,0
South,PR,2020-03-12,6,0
South,PR,2020-03-13,6,0
South,PR,2020-03-14,6,0
South,PR,2020-03-15,6,0
South,PR,2020-03-16,6,0
South,PR,2020-03-17,12,0
South,PR,2020-03-18,14,0
South,PR,2020-03-19,23,0
South,PR,2020-03-20,36,0
South,PR,2020-03-21,43,0
South,PR,2020-03-22,54,0
South,PR,2020-03-23,60,0
South,PR,2020-03-24,70,0
South,PR,2020-03-25,97,0
South,PR,2020-03-26,106,0
South,PR,2020-03-27,125,2
Southeast,RJ,2020-02-25,0,0
Southeast,RJ,2020-02-26,0,0
Southeast,RJ,2020-02-27,0,0
Southeast,RJ,2020-02-28,0,0
Southeast,RJ,2020-02-29,0,0
Southeast,RJ,2020-03-01,0,0
Southeast,RJ,2020-03-02,0,0
Southeast,RJ,2020-03-03,0,0
Southeast,RJ,2020-03-04,0,0
Southeast,RJ,2020-03-05,1,0
Southeast,RJ,2020-03-06,1,0
Southeast,RJ,2020-03-07,2,0
Southeast,RJ,2020-03-08,3,0
Southeast,RJ,2020-03-09,8,0
Southeast,RJ,2020-03-10,8,0
Southeast,RJ,2020-03-11,13,0
Southeast,RJ,2020-03-12,16,0
Southeast,RJ,2020-03-13,19,0
Southeast,RJ,2020-03-14,24,0
Southeast,RJ,2020-03-15,24,0
Southeast,RJ,2020-03-16,31,0
Southeast,RJ,2020-03-17,33,0
Southeast,RJ,2020-03-18,63,0
Southeast,RJ,2020-03-19,66,2
Southeast,RJ,2020-03-20,109,2
Southeast,RJ,2020-03-21,119,3
Southeast,RJ,2020-03-22,186,3
Southeast,RJ,2020-03-23,233,4
Southeast,RJ,2020-03-24,305,6
Southeast,RJ,2020-03-25,370,8
Southeast,RJ,2020-03-26,421,9
Southeast,RJ,2020-03-27,493,10
Northeast,RN,2020-02-25,0,0
Northeast,RN,2020-02-26,0,0
Northeast,RN,2020-02-27,0,0
Northeast,RN,2020-02-28,0,0
Northeast,RN,2020-02-29,0,0
Northeast,RN,2020-03-01,0,0
Northeast,RN,2020-03-02,0,0
Northeast,RN,2020-03-03,0,0
Northeast,RN,2020-03-04,0,0
Northeast,RN,2020-03-05,0,0
Northeast,RN,2020-03-06,0,0
Northeast,RN,2020-03-07,0,0
Northeast,RN,2020-03-08,0,0
Northeast,RN,2020-03-09,0,0
Northeast,RN,2020-03-10,0,0
Northeast,RN,2020-03-11,0,0
Northeast,RN,2020-03-12,1,0
Northeast,RN,2020-03-13,1,0
Northeast,RN,2020-03-14,NA,0
Northeast,RN,2020-03-15,NA,0
Northeast,RN,2020-03-16,NA,0
Northeast,RN,2020-03-17,NA,0
Northeast,RN,2020-03-18,1,0
Northeast,RN,2020-03-19,1,0
Northeast,RN,2020-03-20,6,0
Northeast,RN,2020-03-21,9,0
Northeast,RN,2020-03-22,13,0
Northeast,RN,2020-03-23,13,0
Northeast,RN,2020-03-24,14,0
Northeast,RN,2020-03-25,19,0
Northeast,RN,2020-03-26,19,0
Northeast,RN,2020-03-27,28,0
North,RO,2020-02-25,0,0
North,RO,2020-02-26,0,0
North,RO,2020-02-27,0,0
North,RO,2020-02-28,0,0
North,RO,2020-02-29,0,0
North,RO,2020-03-01,0,0
North,RO,2020-03-02,0,0
North,RO,2020-03-03,0,0
North,RO,2020-03-04,0,0
North,RO,2020-03-05,0,0
North,RO,2020-03-06,0,0
North,RO,2020-03-07,0,0
North,RO,2020-03-08,0,0
North,RO,2020-03-09,0,0
North,RO,2020-03-10,0,0
North,RO,2020-03-11,0,0
North,RO,2020-03-12,0,0
North,RO,2020-03-13,0,0
North,RO,2020-03-14,0,0
North,RO,2020-03-15,0,0
North,RO,2020-03-16,0,0
North,RO,2020-03-17,0,0
North,RO,2020-03-18,0,0
North,RO,2020-03-19,0,0
North,RO,2020-03-20,1,0
North,RO,2020-03-21,3,0
North,RO,2020-03-22,3,0
North,RO,2020-03-23,3,0
North,RO,2020-03-24,5,0
North,RO,2020-03-25,5,0
North,RO,2020-03-26,6,0
North,RO,2020-03-27,6,0
North,RR,2020-02-25,0,0
North,RR,2020-02-26,0,0
North,RR,2020-02-27,0,0
North,RR,2020-02-28,0,0
North,RR,2020-02-29,0,0
North,RR,2020-03-01,0,0
North,RR,2020-03-02,0,0
North,RR,2020-03-03,0,0
North,RR,2020-03-04,0,0
North,RR,2020-03-05,0,0
North,RR,2020-03-06,0,0
North,RR,2020-03-07,0,0
North,RR,2020-03-08,0,0
North,RR,2020-03-09,0,0
North,RR,2020-03-10,0,0
North,RR,2020-03-11,0,0
North,RR,2020-03-12,0,0
North,RR,2020-03-13,0,0
North,RR,2020-03-14,0,0
North,RR,2020-03-15,0,0
North,RR,2020-03-16,0,0
North,RR,2020-03-17,0,0
North,RR,2020-03-18,0,0
North,RR,2020-03-19,0,0
North,RR,2020-03-20,0,0
North,RR,2020-03-21,2,0
North,RR,2020-03-22,2,0
North,RR,2020-03-23,2,0
North,RR,2020-03-24,8,0
North,RR,2020-03-25,8,0
North,RR,2020-03-26,10,0
North,RR,2020-03-27,12,0
South,RS,2020-02-25,0,0
South,RS,2020-02-26,0,0
South,RS,2020-02-27,0,0
South,RS,2020-02-28,0,0
South,RS,2020-02-29,0,0
South,RS,2020-03-01,0,0
South,RS,2020-03-02,0,0
South,RS,2020-03-03,0,0
South,RS,2020-03-04,0,0
South,RS,2020-03-05,0,0
South,RS,2020-03-06,0,0
South,RS,2020-03-07,0,0
South,RS,2020-03-08,0,0
South,RS,2020-03-09,0,0
South,RS,2020-03-10,1,0
South,RS,2020-03-11,4,0
South,RS,2020-03-12,4,0
South,RS,2020-03-13,6,0
South,RS,2020-03-14,6,0
South,RS,2020-03-15,6,0
South,RS,2020-03-16,11,0
South,RS,2020-03-17,19,0
South,RS,2020-03-18,28,0
South,RS,2020-03-19,37,0
South,RS,2020-03-20,56,0
South,RS,2020-03-21,71,0
South,RS,2020-03-22,85,0
South,RS,2020-03-23,96,0
South,RS,2020-03-24,112,0
South,RS,2020-03-25,162,1
South,RS,2020-03-26,190,1
South,RS,2020-03-27,197,2
South,SC,2020-02-25,0,0
South,SC,2020-02-26,0,0
South,SC,2020-02-27,0,0
South,SC,2020-02-28,0,0
South,SC,2020-02-29,0,0
South,SC,2020-03-01,0,0
South,SC,2020-03-02,0,0
South,SC,2020-03-03,0,0
South,SC,2020-03-04,0,0
South,SC,2020-03-05,0,0
South,SC,2020-03-06,0,0
South,SC,2020-03-07,0,0
South,SC,2020-03-08,0,0
South,SC,2020-03-09,0,0
South,SC,2020-03-10,0,0
South,SC,2020-03-11,0,0
South,SC,2020-03-12,2,0
South,SC,2020-03-13,3,0
South,SC,2020-03-14,5,0
South,SC,2020-03-15,6,0
South,SC,2020-03-16,7,0
South,SC,2020-03-17,7,0
South,SC,2020-03-18,14,0
South,SC,2020-03-19,21,0
South,SC,2020-03-20,40,0
