Region,State,Date,Confirmed
North,PA,2020-03-01,0
North,PA,2020-03-02,0
North,PA,2020-03-03,0
North,PA,2020-03-04,0
North,PA,2020-03-05,0
North,PA,2020-03-06,0
North,PA,2020-03-07,0
North,PA,2020-03-08,0
North,PA,2020-03-09,0
North,PA,2020-03-10,0
North,PA,2020-03-11,0
North,PA,2020-03-12,0
North,PA,2020-03-13,0
North,PA,2020-03-14,0
North,PA,2020-03-15,0
North,PA,2020-03-16,0
North,PA,2020-03-17,0
North,PA,2020-03-18,1
North,PA,2020-03-19,1
North,PA,2020-03-20,2
North,PA,2020-03-21,2
North,PA,2020-03-22,4
North,PA,2020-03-23,5
North,PA,2020-03-24,5
North,PA,2020-03-25,7
Northeast,PB,2020-02-25,0
Northeast,PB,2020-02-26,0
Northeast,PB,2020-02-27,0
Northeast,PB,2020-02-28,0
Northeast,PB,2020-02-29,0
Northeast,PB,2020-03-01,0
Northeast,PB,2020-03-02,0
Northeast,PB,2020-03-03,0
Northeast,PB,2020-03-04,0
Northeast,PB,2020-03-05,0
Northeast,PB,2020-03-06,0
Northeast,PB,2020-03-07,0
Northeast,PB,2020-03-08,0
Northeast,PB,2020-03-09,0
Northeast,PB,2020-03-10,0
Northeast,PB,2020-03-11,0
Northeast,PB,2020-03-12,0
Northeast,PB,2020-03-13,0
Northeast,PB,2020-03-14,0
Northeast,PB,2020-03-15,0
Northeast,PB,2020-03-16,0
Northeast,PB,2020-03-17,0
Northeast,PB,2020-03-18,1
Northeast,PB,2020-03-19,1
Northeast,PB,2020-03-20,1
Northeast,PB,2020-03-21,2
Northeast,PB,2020-03-22,2
Northeast,PB,2020-03-23,2
Northeast,PB,2020-03-24,3
Northeast,PB,2020-03-25,5
Northeast,PE,2020-02-25,0
Northeast,PE,2020-02-26,0
Northeast,PE,2020-02-27,0
Northeast,PE,2020-02-28,0
Northeast,PE,2020-02-29,0
Northeast,PE,2020-03-01,0
Northeast,PE,2020-03-02,0
Northeast,PE,2020-03-03,0
Northeast,PE,2020-03-04,0
Northeast,PE,2020-03-05,0
Northeast,PE,2020-03-06,0
Northeast,PE,2020-03-07,0
Northeast,PE,2020-03-08,0
Northeast,PE,2020-03-09,0
Northeast,PE,2020-03-10,0
Northeast,PE,2020-03-11,0
Northeast,PE,2020-03-12,2
Northeast,PE,2020-03-13,0
Northeast,PE,2020-03-14,7
Northeast,PE,2020-03-15,7
Northeast,PE,2020-03-16,18
Northeast,PE,2020-03-17,19
Northeast,PE,2020-03-18,22
Northeast,PE,2020-03-19,28
Northeast,PE,2020-03-20,31
Northeast,PE,2020-03-21,33
Northeast,PE,2020-03-22,37
Northeast,PE,2020-03-23,42
Northeast,PE,2020-03-23,42
Northeast,PE,2020-03-24,42
Northeast,PE,2020-03-25,46
Northeast,PI,2020-02-25,0
Northeast,PI,2020-02-26,0
Northeast,PI,2020-02-27,0
Northeast,PI,2020-02-28,0
Northeast,PI,2020-02-29,0
Northeast,PI,2020-03-01,0
Northeast,PI,2020-03-02,0
Northeast,PI,2020-03-03,0
Northeast,PI,2020-03-04,0
Northeast,PI,2020-03-05,0
Northeast,PI,2020-03-06,0
Northeast,PI,2020-03-07,0
Northeast,PI,2020-03-08,0
Northeast,PI,2020-03-09,0
Northeast,PI,2020-03-10,0
Northeast,PI,2020-03-11,0
Northeast,PI,2020-03-12,0
Northeast,PI,2020-03-13,0
Northeast,PI,2020-03-14,0
Northeast,PI,2020-03-15,0
Northeast,PI,2020-03-16,0
Northeast,PI,2020-03-17,0
Northeast,PI,2020-03-18,0
Northeast,PI,2020-03-19,3
Northeast,PI,2020-03-20,4
Northeast,PI,2020-03-21,4
Northeast,PI,2020-03-22,4
Northeast,PI,2020-03-23,6
Northeast,PI,2020-03-24,8
Northeast,PI,2020-03-25,8
South,PR,2020-02-25,0
South,PR,2020-02-26,0
South,PR,2020-02-27,0
South,PR,2020-02-28,0
South,PR,2020-02-29,0
South,PR,2020-03-01,0
South,PR,2020-03-02,0
South,PR,2020-03-03,0
South,PR,2020-03-04,0
South,PR,2020-03-05,0
South,PR,2020-03-06,0
South,PR,2020-03-07,0
South,PR,2020-03-08,0
South,PR,2020-03-09,0
South,PR,2020-03-10,0
South,PR,2020-03-11,0
South,PR,2020-03-12,6
South,PR,2020-03-13,6
South,PR,2020-03-14,6
South,PR,2020-03-15,6
South,PR,2020-03-16,6
South,PR,2020-03-17,12
South,PR,2020-03-18,14
South,PR,2020-03-19,23
South,PR,2020-03-20,36
South,PR,2020-03-21,43
South,PR,2020-03-22,54
South,PR,2020-03-23,60
South,PR,2020-03-24,70
South,PR,2020-03-25,97
Southeast,RJ,2020-02-25,0
Southeast,RJ,2020-02-26,0
Southeast,RJ,2020-02-27,0
Southeast,RJ,2020-02-28,0
Southeast,RJ,2020-02-29,0
Southeast,RJ,2020-03-01,0
Southeast,RJ,2020-03-02,0
Southeast,RJ,2020-03-03,0
Southeast,RJ,2020-03-04,0
Southeast,RJ,2020-03-05,1
Southeast,RJ,2020-03-06,1
Southeast,RJ,2020-03-07,2
Southeast,RJ,2020-03-08,3
Southeast,RJ,2020-03-09,8
Southeast,RJ,2020-03-10,8
Southeast,RJ,2020-03-11,13
Southeast,RJ,2020-03-12,16
Southeast,RJ,2020-03-13,19
Southeast,RJ,2020-03-14,24
Southeast,RJ,2020-03-15,24
Southeast,RJ,2020-03-16,31
Southeast,RJ,2020-03-17,33
Southeast,RJ,2020-03-18,63
Southeast,RJ,2020-03-19,66
Southeast,RJ,2020-03-20,109
Southeast,RJ,2020-03-21,119
Southeast,RJ,2020-03-22,186
Southeast,RJ,2020-03-23,233
Southeast,RJ,2020-03-24,305
Southeast,RJ,2020-03-25,370
Northeast,RN,2020-02-25,0
Northeast,RN,2020-02-26,0
Northeast,RN,2020-02-27,0
Northeast,RN,2020-02-28,0
Northeast,RN,2020-02-29,0
Northeast,RN,2020-03-01,0
Northeast,RN,2020-03-02,0
Northeast,RN,2020-03-03,0
Northeast,RN,2020-03-04,0
Northeast,RN,2020-03-05,0
Northeast,RN,2020-03-06,0
Northeast,RN,2020-03-07,0
Northeast,RN,2020-03-08,0
Northeast,RN,2020-03-09,0
Northeast,RN,2020-03-10,0
Northeast,RN,2020-03-11,0
Northeast,RN,2020-03-12,1
Northeast,RN,2020-03-13,1
Northeast,RN,2020-03-14,NA
Northeast,RN,2020-03-15,NA
Northeast,RN,2020-03-16,NA
Northeast,RN,2020-03-17,NA
Northeast,RN,2020-03-18,1
Northeast,RN,2020-03-19,1
Northeast,RN,2020-03-20,6
Northeast,RN,2020-03-21,9
Northeast,RN,2020-03-22,13
Northeast,RN,2020-03-23,13
Northeast,RN,2020-03-24,14
Northeast,RN,2020-03-25,14
North,RO,2020-02-25,0
North,RO,2020-02-26,0
North,RO,2020-02-27,0
North,RO,2020-02-28,0
North,RO,2020-02-29,0
North,RO,2020-03-01,0
North,RO,2020-03-02,0
North,RO,2020-03-03,0
North,RO,2020-03-04,0
North,RO,2020-03-05,0
North,RO,2020-03-06,0
North,RO,2020-03-07,0
North,RO,2020-03-08,0
North,RO,2020-03-09,0
North,RO,2020-03-10,0
North,RO,2020-03-11,0
North,RO,2020-03-12,0
North,RO,2020-03-13,0
North,RO,2020-03-14,0
North,RO,2020-03-15,0
North,RO,2020-03-16,0
North,RO,2020-03-17,0
North,RO,2020-03-18,0
North,RO,2020-03-19,0
North,RO,2020-03-20,1
North,RO,2020-03-21,3
North,RO,2020-03-22,3
North,RO,2020-03-23,3
North,RO,2020-03-24,5
North,RO,2020-03-25,5
North,RR,2020-02-25,0
North,RR,2020-02-26,0
North,RR,2020-02-27,0
North,RR,2020-02-28,0
North,RR,2020-02-29,0
North,RR,2020-03-01,0
North,RR,2020-03-02,0
North,RR,2020-03-03,0
North,RR,2020-03-04,0
North,RR,2020-03-05,0
North,RR,2020-03-06,0
North,RR,2020-03-07,0
North,RR,2020-03-08,0
North,RR,2020-03-09,0
North,RR,2020-03-10,0
North,RR,2020-03-11,0
North,RR,2020-03-12,0
North,RR,2020-03-13,0
North,RR,2020-03-14,0
North,RR,2020-03-15,0
North,RR,2020-03-16,0
North,RR,2020-03-17,0
North,RR,2020-03-18,0
North,RR,2020-03-19,0
North,RR,2020-03-20,0
North,RR,2020-03-21,2
North,RR,2020-03-22,2
North,RR,2020-03-23,2
North,RR,2020-03-24,8
North,RR,2020-03-25,8
South,RS,2020-02-25,0
South,RS,2020-02-26,0
South,RS,2020-02-27,0
South,RS,2020-02-28,0
South,RS,2020-02-29,0
South,RS,2020-03-01,0
South,RS,2020-03-02,0
South,RS,2020-03-03,0
South,RS,2020-03-04,0
South,RS,2020-03-05,0
South,RS,2020-03-06,0
South,RS,2020-03-07,0
South,RS,2020-03-08,0
South,RS,2020-03-09,0
South,RS,2020-03-10,1
South,RS,2020-03-11,4
South,RS,2020-03-12,4
South,RS,2020-03-13,6
South,RS,2020-03-14,6
South,RS,2020-03-15,6
South,RS,2020-03-16,11
South,RS,2020-03-17,19
South,RS,2020-03-18,28
South,RS,2020-03-19,37
South,RS,2020-03-20,56
South,RS,2020-03-21,71
South,RS,2020-03-22,85
